<http://givingsense.eu/sembib/onto/persons/Rougier_Jean-Louis> <http://xmlns.com/foaf/0.1/name> "Jean-Louis Rougier"
<http://givingsense.eu/sembib/onto/persons/Burkhardt_J_-M_> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://xmlns.com/foaf/0.1/Person>
<http://givingsense.eu/sembib/onto/persons/Burkhardt_J_-M_> <http://purl.org/spar/pro/holdsRoleInTime> <http://givingsense.eu/sembib/onto/persons/Burkhardt_J_-M_-author>
<http://givingsense.eu/sembib/onto/persons/Burkhardt_J_-M_> <http://xmlns.com/foaf/0.1/name> "Jean-Marie Burkhardt"
<http://givingsense.eu/sembib/onto/persons/HUDRY_Olivier> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://xmlns.com/foaf/0.1/Person>
<http://givingsense.eu/sembib/onto/persons/HUDRY_Olivier> <http://xmlns.com/foaf/0.1/name> "Olivier HUDRY"
<http://givingsense.eu/sembib/onto/persons/Jean_X_> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://xmlns.com/foaf/0.1/Person>
<http://givingsense.eu/sembib/onto/persons/Jean_X_> <http://purl.org/spar/pro/holdsRoleInTime> <http://givingsense.eu/sembib/onto/persons/Jean_X_-author>
<http://givingsense.eu/sembib/onto/persons/Jean_X_> <http://xmlns.com/foaf/0.1/familyName> "Jean"
<http://givingsense.eu/sembib/onto/persons/Jean_X_> <http://xmlns.com/foaf/0.1/name> "Xavier Jean"
<http://givingsense.eu/sembib/onto/persons/Pesquet_J_-Ch_> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://xmlns.com/foaf/0.1/Person>
<http://givingsense.eu/sembib/onto/persons/Pesquet_J_-Ch_> <http://purl.org/spar/pro/holdsRoleInTime> <http://givingsense.eu/sembib/onto/persons/Pesquet_J_-Ch_-author>
<http://givingsense.eu/sembib/onto/persons/Pesquet_J_-Ch_> <http://xmlns.com/foaf/0.1/name> "Jean-Christophe Pesquet"
<http://givingsense.eu/sembib/onto/persons/Olivo-Marin_J_-C_> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://xmlns.com/foaf/0.1/Person>
<http://givingsense.eu/sembib/onto/persons/Olivo-Marin_J_-C_> <http://purl.org/spar/pro/holdsRoleInTime> <http://givingsense.eu/sembib/onto/persons/Olivo-Marin_J_-C_-author>
<http://givingsense.eu/sembib/onto/persons/Olivo-Marin_J_-C_> <http://xmlns.com/foaf/0.1/name> "Jean-Christophe Olivo-Marin"
<http://givingsense.eu/sembib/onto/persons/LENEUTRE_Jean> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://xmlns.com/foaf/0.1/Person>
<http://givingsense.eu/sembib/onto/persons/LENEUTRE_Jean> <http://purl.org/spar/pro/holdsRoleInTime> <http://givingsense.eu/sembib/onto/persons/LENEUTRE_Jean-author>
<http://givingsense.eu/sembib/onto/persons/LENEUTRE_Jean> <http://purl.org/spar/pro/holdsRoleInTime> <http://givingsense.eu/sembib/onto/persons/LENEUTRE_Jean-at-tpt>
<http://givingsense.eu/sembib/onto/persons/LENEUTRE_Jean> <http://xmlns.com/foaf/0.1/givenName> "Jean"
<http://givingsense.eu/sembib/onto/persons/LENEUTRE_Jean> <http://xmlns.com/foaf/0.1/name> "Jean LENEUTRE"
<http://givingsense.eu/sembib/onto/persons/Cioranesco_J_-M_> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://xmlns.com/foaf/0.1/Person>
<http://givingsense.eu/sembib/onto/persons/Cioranesco_J_-M_> <http://purl.org/spar/pro/holdsRoleInTime> <http://givingsense.eu/sembib/onto/persons/Cioranesco_J_-M_-author>
<http://givingsense.eu/sembib/onto/persons/Cioranesco_J_-M_> <http://xmlns.com/foaf/0.1/name> "Jean-Michel Cioranesco"
<http://givingsense.eu/sembib/onto/persons/Cardoso_Jean-Fran%C3%A7ois> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://xmlns.com/foaf/0.1/Person>
<http://givingsense.eu/sembib/onto/persons/Cardoso_Jean-Fran%C3%A7ois> <http://purl.org/spar/pro/holdsRoleInTime> <http://givingsense.eu/sembib/onto/persons/Cardoso_Jean-Fran%C3%A7ois-author>
<http://givingsense.eu/sembib/onto/persons/Cardoso_Jean-Fran%C3%A7ois> <http://purl.org/spar/pro/holdsRoleInTime> <http://givingsense.eu/sembib/onto/persons/Cardoso_Jean-Fran%C3%A7ois-at-tpt>
<http://givingsense.eu/sembib/onto/persons/Cardoso_Jean-Fran%C3%A7ois> <http://xmlns.com/foaf/0.1/givenName> "Jean-Frann Cois"
<http://givingsense.eu/sembib/onto/persons/Cardoso_Jean-Fran%C3%A7ois> <http://xmlns.com/foaf/0.1/name> "Jean-Frann Cois Cardoso"
<http://givingsense.eu/sembib/onto/persons/Roueff_Fran%C3%A7ois> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://xmlns.com/foaf/0.1/Person>
<http://givingsense.eu/sembib/onto/persons/Roueff_Fran%C3%A7ois> <http://xmlns.com/foaf/0.1/name> "Franc-Ois Roueff"
<http://givingsense.eu/sembib/onto/persons/K%C3%A9lif_J_-M_> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://xmlns.com/foaf/0.1/Person>
<http://givingsense.eu/sembib/onto/persons/K%C3%A9lif_J_-M_> <http://purl.org/spar/pro/holdsRoleInTime> <http://givingsense.eu/sembib/onto/persons/K%C3%A9lif_J_-M_-author>
<http://givingsense.eu/sembib/onto/persons/K%C3%A9lif_J_-M_> <http://xmlns.com/foaf/0.1/name> "Jean-Marc K\u00E9lif"
<http://givingsense.eu/sembib/onto/persons/DESSALLES_Jean-Louis> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://xmlns.com/foaf/0.1/Person>
<http://givingsense.eu/sembib/onto/persons/DESSALLES_Jean-Louis> <http://purl.org/spar/pro/holdsRoleInTime> <http://givingsense.eu/sembib/onto/persons/DESSALLES_Jean-Louis-author>
<http://givingsense.eu/sembib/onto/persons/DESSALLES_Jean-Louis> <http://purl.org/spar/pro/holdsRoleInTime> <http://givingsense.eu/sembib/onto/persons/DESSALLES_Jean-Louis-at-tpt>
<http://givingsense.eu/sembib/onto/persons/DESSALLES_Jean-Louis> <http://xmlns.com/foaf/0.1/name> "Jean-Louis DESSALLES"
<http://givingsense.eu/sembib/onto/persons/Forzy_J_%2520F_> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://xmlns.com/foaf/0.1/Person>
<http://givingsense.eu/sembib/onto/persons/Forzy_J_%2520F_> <http://xmlns.com/foaf/0.1/name> "Jean-Fran\u00E7ois Forzy"
<http://givingsense.eu/sembib/onto/persons/Moulines_E_> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://xmlns.com/foaf/0.1/Person>
<http://givingsense.eu/sembib/onto/persons/Moulines_E_> <http://xmlns.com/foaf/0.1/name> "Eric Moulines"
